jméno,příjmení,obor,ročník,kruh,prospěch
Petr,Vanžura,správa IT systémů,3,3,2.24
Josef,Pícha,webové inženýrství,2,9,2.52
Michal,Steiner,informatika a management,2,2,2.33
Renata,Václavová,informatika a management,2,3,2.83
Jarmila,Selucká,informatika a management,,6,2.34
Patrik,Jurečka,číslicová technika,5,10,1.11
Petra,Šlégrová,číslicová technika,3,,2.71
Stanislav,Veselý,informatika a management,,5,2.48
Lukáš,Reichel,teoretická informatika,5,6,2.68
Miroslava,Maryšková,číslicová technika,2,4,1.68
Pavel,Kysela,číslicová technika,5,10,2.58
Jiří,Jehlička,číslicová technika,4,8,2.08
Martin,Pravda,softwarové inženýrství,2,4,1.4
Alena,Bittnerová,softwarové inženýrství,2,7,1.52
Ladislav,Služy,informatika a management,1,3,1.33
Miroslav,Koman,softwarové inženýrství,1,6,2.9
Vlasta,Slaná,teoretická informatika,3,12,1.55
Daniel,Smejkal,webové inženýrství,4,5,2.73
Jaroslav,Mráz,číslicová technika,2,9,1.38
Antonín,Slabý,počítačová grafika,4,10,2.37
Eva,Náglová,informatika a management,1,7,1.77
Jan,Hajs,správa IT systémů,1,,1.58
Marie,Boušková,teoretická informatika,2,7,2.31
Helena,Roušarová,správa IT systémů,3,5,1.22
Jiřina,Vránková,teoretická informatika,4,6,2.7
Jana,Kučeráková,číslicová technika,3,12,2.13
Irena,Štavková,webové inženýrství,,5,1.67
Zdeněk,Vild,webové inženýrství,2,3,1.91
Kateřina,Smutná,softwarové inženýrství,3,12,1.88
Šárka,Šustrová,číslicová technika,,6,2.01
František,Müller,teoretická informatika,1,10,1.56
David,Jelínek,softwarové inženýrství,4,6,2.43
Anna,Vítková,webové inženýrství,2,7,2.0
Dagmar,Musilová,počítačová grafika,5,,1.31
Tomáš,Krákora,počítačová grafika,2,11,2.41
Hana,Rakušanová,softwarové inženýrství,4,9,1.15
Vladimír,Vitáček,webové inženýrství,2,1,2.59
Radek,Malurek,počítačová grafika,4,4,2.01
Ivana,Jírů,teoretická informatika,3,7,2.33
Radka,Puflerová,informatika a management,4,9,1.11
Dana,Hlaváčková,informatika a management,1,7,2.09
Blanka,Dubová,softwarové inženýrství,,1,2.91
Jitka,Prchlíková,softwarové inženýrství,4,6,2.68
Václav,Hrabec,teoretická informatika,,6,2.72
Věra,Kopperová,informatika a management,5,,2.51
Andrea,Horká,teoretická informatika,2,2,1.63
Lucie,Dolejšková,webové inženýrství,1,6,1.97
Eliška,Vébrová,teoretická informatika,5,12,1.6
Vlastimil,Suško,webové inženýrství,1,1,2.53
Karel,Zachara,webové inženýrství,2,5,2.81
Lenka,Vaňková,softwarové inženýrství,1,9,1.17
Jaroslava,Mrázková,informatika a management,2,10,2.28
Ondřej,Požár,webové inženýrství,2,8,1.94
Milan,Kulczycki,informatika a management,3,8,1.27
Martina,Zámečníková,číslicová technika,,6,2.24
Veronika,Fieberová,teoretická informatika,1,,2.18
Iveta,Pechanová,správa IT systémů,5,1,2.69
Ludmila,Dorazilová,softwarové inženýrství,2,10,2.0
Zuzana,Dvořáková,webové inženýrství,,10,3.0
Roman,Havlíček,webové inženýrství,3,8,1.97
Tereza,Raždíková,webové inženýrství,3,8,2.09
Růžena,Kolářová,teoretická informatika,3,1,1.7
Jakub,Boháč,webové inženýrství,5,7,1.55
Daniela,Minksová,informatika a management,1,9,2.85
Zdeňka,Formanová,softwarové inženýrství,1,4,2.24
Michaela,Šafářová,číslicová technika,1,8,2.68
Vojtěch,Mikolášek,číslicová technika,2,9,2.28
Miloslav,Vozka,webové inženýrství,,9,2.21
Monika,Kliková,informatika a management,1,9,1.94
Irena,Salvová,počítačová grafika,5,9,2.41
David,Šťastný,informatika a management,1,8,1.09
Pavel,Miko,počítačová grafika,4,,2.26
Jan,Kalášek,počítačová grafika,3,4,2.39
Karel,Přibyl,webové inženýrství,1,8,2.09
Markéta,Neckařová,softwarové inženýrství,3,4,2.7
Jaromír,Gabriel,počítačová grafika,3,8,1.38
Gabriela,Michaličková,počítačová grafika,1,8,2.52
Zdeněk,Thum,číslicová technika,1,3,2.54
Jiří,Jelínek,webové inženýrství,,7,2.87
Petr,Praženka,softwarové inženýrství,3,7,2.15
Dana,Fuková,informatika a management,2,8,2.94
Aleš,Král,číslicová technika,4,,2.18
Miroslava,Antesová,softwarové inženýrství,4,5,2.47
Josef,Žáček,správa IT systémů,5,4,2.1
Vladimír,Dvořák,správa IT systémů,1,9,1.06
Eliška,Schneiderová,číslicová technika,1,3,1.53
Kateřina,Řezníčková,softwarové inženýrství,2,3,1.13
Jaroslava,Orlová,teoretická informatika,4,11,2.16
Anna,Panáčková,počítačová grafika,5,6,1.32
Václav,Horáček,informatika a management,3,7,2.36
Zdenka,Švecová,počítačová grafika,1,12,2.42
Libor,Boček,informatika a management,,9,1.72
Jana,Hamplová,teoretická informatika,5,9,2.7
Marie,Koděrová,počítačová grafika,4,,2.12
Milan,Provazník,informatika a management,2,9,2.9
Hana,Čabalová,číslicová technika,4,6,2.61
Antonín,Fiala,softwarové inženýrství,2,1,1.11
František,Andrlík,softwarové inženýrství,3,5,2.81
Helena,Hrábková,teoretická informatika,1,7,2.46
Stanislav,Novák,webové inženýrství,4,8,1.39
Růžena,Kubátová,informatika a management,3,2,1.64
Věra,Beinhauerová,počítačová grafika,4,7,1.91
Alena,Křikavová,správa IT systémů,3,12,2.43
Kristýna,Hamříková,webové inženýrství,1,2,2.58
Božena,Wojnarová,číslicová technika,2,10,1.14
Ladislav,Kožnar,číslicová technika,4,10,1.59
Ludmila,Adamčíková,softwarové inženýrství,2,,1.31
Jarmila,Nechanická,počítačová grafika,4,10,1.83
Martin,Kopecký,webové inženýrství,5,1,2.55
Eva,Šimková,softwarové inženýrství,2,6,1.15
Denisa,Bílková,teoretická informatika,5,5,1.03
Jitka,Zíková,softwarové inženýrství,,7,2.98
Roman,Salava,číslicová technika,2,4,2.51
Renata,Vrkočová,číslicová technika,,3,1.74
Jaroslav,Lexmaul,softwarové inženýrství,4,7,2.55
Miroslav,Růžička,webové inženýrství,,7,1.37
Tomáš,Nešpor,webové inženýrství,4,2,1.95
Andrea,Fialová,webové inženýrství,2,2,1.98
Michal,Nováček,správa IT systémů,4,4,2.55
Zdeňka,Zemanová,číslicová technika,2,11,2.1
Petra,Kvízová,počítačová grafika,1,11,2.27
Veronika,Sasková,teoretická informatika,2,5,2.06
Patrik,Arnold,teoretická informatika,4,12,2.11
Barbora,Surmová,správa IT systémů,,12,2.61
Blanka,Rusiňáková,číslicová technika,1,9,2.48
Lenka,Svobodová,teoretická informatika,4,,1.72
Radek,Svatoš,počítačová grafika,,1,2.85
Jakub,Kašpar,správa IT systémů,4,6,2.8
Monika,Müllerová,správa IT systémů,1,11,2.54
Filip,Šafář,softwarové inženýrství,4,2,1.16
Lucie,Martinovská,správa IT systémů,1,8,2.31
Radka,Nováčková,softwarové inženýrství,3,3,1.93
Pavlína,Filová,číslicová technika,4,8,2.37
Klára,Valentová,správa IT systémů,1,11,1.1
Pavla,Veverková,počítačová grafika,4,6,2.98
Daniel,Brandstätter,informatika a management,4,2,2.05
Lukáš,Čech,informatika a management,5,,1.59
Dagmar,Košanová,teoretická informatika,5,10,1.34
Ivana,Macháčková,webové inženýrství,1,,2.92
Martina,Turková,softwarové inženýrství,5,8,1.54
